Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Arable land (% of land area),AG.LND.ARBL.ZS,Bangladesh,BGD,72.64346623646,64.1468848428977,59.8525005761696,58.9844050088346,58.9229469155719,58.9844050088346,58.9152646539141,59.4010926816855,59.646692486268,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Barbados,BRB,37.2093023255814,34.8837209302326,27.906976744186,25.5813953488372,23.2558139534884,22.093023255814,20.9302325581395,18.6046511627907,16.2790697674419,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Belarus,BLR,..,30.2356537172155,27.2794480039428,27.2485338327337,27.2140357794096,27.4001024171013,27.8958279166199,27.9705174148138,28.0006679504812,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Belgium,BEL,..,28.4676354029062,27.5429326287979,27.2457067371202,26.5191545574637,26.9484808454425,26.9815059445178,27.3943196829591,28.0515199608343,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Belize,BLZ,2.2797018851381,2.80578693555458,3.28803156510303,3.28803156510303,3.41955282770715,3.41955282770715,3.41955282770715,3.41955282770715,3.41955282770715,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Benin,BEN,14.3224547711955,21.106775452288,22.5257183398368,22.880454061724,23.9446612273856,23.9446612273856,23.9446612273856,23.9446612273856,23.9446612273856,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bermuda,BMU,5.55555567819886,7.40740738696685,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bhutan,BTN,2.88936938217365,2.66331658291457,2.63924232659478,2.62874828112943,2.62874828112943,2.62874828112943,2.62874828112943,2.62874828112943,2.62164436242134,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bolivia,BOL,1.93852118526724,2.90224314594295,3.9665835871873,4.00443090556633,4.08197175297702,4.1595126003877,4.12628080864027,4.08843349026124,4.11058801809286,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bosnia and Herzegovina,BIH,..,19.53125,19.609375,19.62890625,19.58984375,19.70703125,19.6484375,19.9609375,20.0390625,..,..,..
